Time,Year,PI_Name,Title
24.3,1999,DENNERL,VENUS AND MARS: THE CLOSEST PLANETARY ANALOGUES TO COMETS
32.0,1999,LISSE,AXAF LOW ENERGY SPECTROSCOPY AND PHOTOMETRIC IMAGING OF COMETARYX-RAY EMISSION FROM COMET P/TEMPEL 2
40.0,1999,KASTNER,X-RAY IMAGING OF THE INTERACTING WINDS OF PLANETARY NEBULAE
50.0,1999,SNOW,ASSESSEMENT OF INTERSTELLAR DEPLETIONS THROUGH X-RAY ABSORPTIONAND SCATTERING BY DUST
65.25,1999,VESTRAND,SOLVING THE PUZZLE OF COMETARY X-RAY ORIGIN: OBSERVATIONS OFCOMET 10P/TEMPEL 2
20.0,1999,RICKER,X-RAY AFTERGLOW MEASUREMENTS BY AXAF OF GAMMA-RAY BURSTSLOCALIZED BY THE RXTE/ASM AND HETE SATELLITES
40.0,1999,PIRO,X-RAY POSITIONS AND AFTERGLOWS OF GAMMA-RAY BURSTS
40.3,1999,GARMIRE,ACIS OBSERVATION OF JUPITER AND THE GALILEAN SATELLITES
36.0,1999,DENNERL,X-RAY EMISSION FROM COMET 10P/BORRELLY DURING THE DEEP SPACE 1ENCOUNTER
100.0,1999,DRAKE,ACIS/HETG SPECTROSCOPY OF THE ACTIVE BINARIES ALGOL & UX ARI
50.0,1999,PREIBISCH,THE FULL T TAURI STAR POPULATION OF THE YOUNG STELLAR CLUSTER IC348
5.0,1999,PITTARD,DIRECT HRC-I IMAGING OF THE COLLIDING WINDS SHOCK IN WR 147
100.0,1999,RAUCH,"PHOTOSPHERIC METAL ABUNDANCES IN THE VERY HOT, HYDROGEN-RICHCENTRAL STARS OF THE PLANETARY NEBULAE NGC1360 AND NGC6853"
100.0,1999,DUPREE,CORONAL STRUCTURE OF THE LONG-PERIOD BINARY: LAMBDA AND
60.0,1999,WALDRON,MEASURING DOPPLER SHIFTS OF X-RAY LINES TO DETERMINE THE STELLARWIND X-RAY LOCATIONS IN OB STARS
40.0,1999,CHURCHWELL,EXTENDED X-RAY EMISSION FROM MASSIVE STAR FORMATION REGIONS
5.0,1999,WALTER,THE SOURCE OF X-RAYS IN THE HR 1442 SYSTEM
100.0,1999,DRAKE,FLUORESCENCE AND OPTICAL DEPTH: NEW PROBES OF CORONAL GEOMETRY
40.0,1999,BUZASI,FK COM: SHROUDED IN MYSTERY
22.0,1999,FLEMING,X-RAY EMISSION AT THE BOTTOM OF THE MAIN SEQUENCE
35.0,1999,MONTMERLE,X-RAYS FROM THE RHO OPHIUCHI YOUNG STAR CLUSTER
40.0,1999,BASRI,THE END OF STELLAR CORONAE?
40.0,1999,DUPUIS,LETG OBSERVATION OF THE HOT WHITE DWARF GD 246
39.4,1999,LINSKY,A COMPREHENSIVE INVESTIGATION OF X-RAY EMISSION FROMINTERMEDIATE MASS STARS
65.0,1999,SKINNER,X-RAY EMISSION FROM WOLF-RAYET STARS: THE COLLIDING WIND SHOCKSYSTEM GAMMA VELORUM
100.0,1999,CHU,SHOCKED STELLAR WINDS IN PLANETARY NEBULAE
100.0,1999,CORCORAN,"RESOLVING THE X-RAY SPECTRUM OF THE EXTREMELY MASSIVE,SUPERLUMINOUS STAR ETA CARINAE WITH AXAF"
50.0,1999,CORCORAN,X-RAY PROPERTIES OF VERY MASSIVE STARS WITH VERYDIFFERENTMETALLICITIES:THE ``STARBURSTS'' NGC 3603 AND NGC 346
100.0,1999,KOYAMA,HARD X-RAY SEARCH FROM CLASS 0 PROTOSTARS
100.0,1999,KOYAMA,RESOLVING EMBEDDED X-RAY OBJECTS IN RHO OPH CLOUD CORE
